Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,Rejection_Reason,Is_Return,Lazy_Rep_Flag
OUT_00751,2025,12,DIST_W_01,SKU_01,0.0,143.93856584768102,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08869,2023,5,DIST_W_03,SKU_10,0.0,133.0018142576226,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09908,2023,1,DIST_C_02,SKU_09,0.0,93.9153702270344,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18168,2024,7,DIST_S_02,SKU_01,0.0,82.59854441909839,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_16423,2025,10,DIST_NW_02,SKU_06,0.0,184.19972448031243,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18786,2025,10,DIST_S_01,SKU_01,0.0,120.606988520364,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03823,2025,8,DIST_W_02,SKU_04,0.0,152.1916499470384,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11064,2023,3,DIST_C_02,SKU_03,0.0,171.86346906655154,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18381,2025,8,DIST_S_01,SKU_09,0.0,93.769045629879,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_04356,2024,12,DIST_W_02,SKU_05,0.0,172.77500356280015,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_17129,2023,7,DIST_S_01,SKU_10,0.0,57.52099802270136,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00821,2025,3,DIST_W_03,SKU_01,0.0,53.57632385530048,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12587,2025,12,DIST_C_01,SKU_07,0.0,146.98604216347377,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00908,2025,10,DIST_W_01,SKU_01,0.0,159.01356038718478,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_17777,2023,6,DIST_S_01,SKU_07,0.0,185.29805433596255,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11749,2025,2,DIST_C_01,SKU_08,0.0,174.34196950670395,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09071,2024,1,DIST_C_03,SKU_07,0.0,160.47530673053487,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03442,2025,3,DIST_W_02,SKU_09,0.0,129.4617845498023,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03424,2025,3,DIST_W_01,SKU_04,0.0,180.4841991732805,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07787,2024,9,DIST_W_01,SKU_07,0.0,177.04509408614933,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12874,2025,4,DIST_C_03,SKU_04,0.0,124.56142522206152,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_05633,2023,1,DIST_W_03,SKU_08,0.0,164.96833868898872,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_06112,2024,2,DIST_W_02,SKU_04,0.0,128.53369648339543,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_05691,2023,3,DIST_W_02,SKU_06,0.0,199.85477966285595,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19876,2025,5,DIST_S_02,SKU_05,0.0,172.5896874958762,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_02636,2025,7,DIST_W_01,SKU_03,0.0,153.95867024125704,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09183,2025,1,DIST_C_01,SKU_01,0.0,71.71563965065121,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_01650,2025,11,DIST_W_01,SKU_03,0.0,77.2216231410615,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_02364,2023,8,DIST_W_01,SKU_08,0.0,50.489522168129795,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18641,2023,12,DIST_S_02,SKU_02,0.0,55.82929583802272,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18614,2024,8,DIST_S_02,SKU_03,0.0,185.97816022164275,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07324,2024,8,DIST_W_01,SKU_04,0.0,61.30807166251836,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_06052,2025,2,DIST_W_01,SKU_08,0.0,163.5515726572728,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_06965,2023,10,DIST_W_01,SKU_02,0.0,175.5968981560437,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_04679,2024,2,DIST_W_01,SKU_09,0.0,144.97758340616278,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08540,2023,1,DIST_W_01,SKU_08,0.0,140.71412440270225,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19122,2024,8,DIST_S_02,SKU_10,0.0,199.77710578750245,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13877,2025,12,DIST_NW_02,SKU_09,0.0,197.7784888161499,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12563,2024,5,DIST_C_02,SKU_03,0.0,193.03871452941635,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13050,2024,2,DIST_NW_01,SKU_06,0.0,162.3407889056209,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08003,2023,2,DIST_W_02,SKU_05,0.0,92.93202565805817,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_05203,2025,10,DIST_W_02,SKU_08,0.0,186.9859252931149,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_10067,2025,8,DIST_C_03,SKU_10,0.0,95.60055542733473,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_10172,2025,5,DIST_C_03,SKU_07,0.0,103.70979691744792,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19130,2024,3,DIST_S_01,SKU_05,0.0,149.20271526269315,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00684,2023,7,DIST_W_03,SKU_03,0.0,112.91919168464692,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14101,2023,12,DIST_NW_01,SKU_10,0.0,136.15051623739112,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12224,2024,2,DIST_C_01,SKU_05,0.0,142.6172370845241,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_15335,2023,11,DIST_NW_02,SKU_07,0.0,197.3853219974355,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09038,2023,12,DIST_C_03,SKU_09,0.0,181.0863936883594,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13266,2024,5,DIST_NW_01,SKU_05,0.0,84.27291751670384,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18036,2025,12,DIST_S_02,SKU_03,0.0,127.11891712648196,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00030,2025,3,DIST_W_01,SKU_08,0.0,102.33116154616988,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_02765,2023,5,DIST_W_01,SKU_02,0.0,62.172246187946115,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07091,2024,1,DIST_W_02,SKU_02,0.0,50.64462515612446,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_15452,2025,6,DIST_NW_02,SKU_01,0.0,129.72663836505845,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03138,2025,10,DIST_W_02,SKU_05,0.0,72.64893870877212,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07569,2025,3,DIST_W_03,SKU_07,0.0,157.03227013315353,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08716,2023,6,DIST_W_03,SKU_03,0.0,193.63286831905432,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03346,2024,1,DIST_W_03,SKU_09,0.0,140.88700951762814,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07705,2024,5,DIST_W_02,SKU_05,0.0,80.13419869697645,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_16970,2023,11,DIST_NW_02,SKU_03,0.0,199.2005410136425,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14553,2024,7,DIST_NW_02,SKU_06,0.0,98.38805696276565,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_15266,2025,1,DIST_NW_02,SKU_08,0.0,78.40003099837934,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11145,2024,11,DIST_C_01,SKU_10,0.0,118.95884956985576,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13626,2024,8,DIST_NW_02,SKU_07,0.0,171.56528626077477,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09188,2024,7,DIST_C_02,SKU_06,0.0,97.57855957897104,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_17836,2023,9,DIST_S_02,SKU_05,0.0,182.1435640340148,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00274,2023,7,DIST_W_01,SKU_02,0.0,182.14983081982,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08114,2023,6,DIST_W_01,SKU_08,0.0,91.78555627203616,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18904,2025,1,DIST_S_01,SKU_05,0.0,78.41673130204491,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19015,2025,11,DIST_S_01,SKU_10,0.0,122.27103322205696,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18220,2024,10,DIST_S_02,SKU_05,0.0,139.61356373921896,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00731,2025,7,DIST_W_03,SKU_07,0.0,76.16582211617407,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12863,2023,3,DIST_C_03,SKU_08,0.0,138.37111356376695,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00890,2024,3,DIST_W_03,SKU_10,0.0,182.24493685190305,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_10642,2023,2,DIST_C_03,SKU_07,0.0,95.1162115494359,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_05264,2024,5,DIST_W_03,SKU_03,0.0,199.16809583829257,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00228,2023,9,DIST_W_03,SKU_02,0.0,81.30016250739997,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13620,2025,7,DIST_NW_01,SKU_06,0.0,91.06856033831872,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08464,2023,1,DIST_W_02,SKU_10,0.0,131.05494973126585,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_10545,2024,6,DIST_C_02,SKU_05,0.0,100.42636018572512,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19075,2024,9,DIST_S_01,SKU_04,0.0,155.79598928857482,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18567,2023,8,DIST_S_01,SKU_02,0.0,103.8177087898051,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_06210,2025,8,DIST_W_03,SKU_02,0.0,156.24459023025537,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14571,2025,2,DIST_NW_01,SKU_08,0.0,181.5142359832011,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00389,2023,8,DIST_W_02,SKU_10,0.0,114.35827643537093,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09983,2024,9,DIST_C_03,SKU_09,0.0,198.66821632843892,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11330,2024,11,DIST_C_03,SKU_09,0.0,88.15667493884703,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_13613,2023,5,DIST_NW_01,SKU_01,0.0,162.96244133184325,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14782,2024,12,DIST_NW_01,SKU_10,0.0,108.98786840679796,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19717,2023,5,DIST_S_02,SKU_01,0.0,187.6245066446589,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14117,2025,12,DIST_NW_01,SKU_10,0.0,182.1060117183467,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_14144,2025,9,DIST_NW_01,SKU_09,0.0,100.80648171470352,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12572,2023,12,DIST_C_02,SKU_09,0.0,151.39558834944745,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_19730,2024,7,DIST_S_01,SKU_03,0.0,57.86367843460326,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_04295,2024,2,DIST_W_01,SKU_02,0.0,97.50644721945363,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_15202,2024,2,DIST_NW_01,SKU_10,0.0,157.4815970222403,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03897,2023,12,DIST_W_01,SKU_04,0.0,146.448398978782,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00160,2023,8,DIST_W_02,SKU_10,0.0,146.6143166251158,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
